Date ,Cases ,Deaths
5/12/2020,744,179
5/11/2020,802,165
5/10/2020,1083,194
5/9/2020,1327,243
5/8/2020,1401,274
5/7/2020,1444,369
5/6/2020,1075,236
5/5/2020,1221,195
5/4/2020,1389,174
5/3/2020,1900,474
5/2/2020,1965,269
5/1/2020,1872,285
4/30/2020,2086,323
4/29/2020,2091,382
4/28/2020,1739,333
4/27/2020,2324,260
4/26/2020,2357,415
4/25/2020,3021,420
4/24/2020,2646,464
4/23/2020,3370,437
4/22/2020,2729,534
4/21/2020,2256,454
4/20/2020,3047,433
4/19/2020,3491,480
4/18/2020,3493,575
4/17/2020,3786,525
4/16/2020,2667,578
4/15/2020,2972,604
4/14/2020,3153,564
4/13/2020,4092,431
4/12/2020,4694,619
4/11/2020,3951,570
4/10/2020,4204,612
4/9/2020,3836,540
4/8/2020,3039,604
4/7/2020,3599,636
4/6/2020,4316,527
4/5/2020,4805,681
4/4/2020,4585,764
4/3/2020,4668,760
4/2/2020,4782,727
4/1/2020,4053,839
3/31/2020,4050,810
3/30/2020,5217,758
3/29/2020,5974,887
3/28/2020,5959,971
3/27/2020,6153,660
3/26/2020,5210,685
3/25/2020,5249,743
3/24/2020,4789,601
3/23/2020,5560,649
3/22/2020,6557,795
3/21/2020,5986,625
3/20/2020,5322,429
3/19/2020,4207,473
3/18/2020,3526,347
3/17/2020,4000,347
3/16/2020,2823,370
3/15/2020,3497,173
3/14/2020,2547,252
3/13/2020,2651,189
3/12/2020,2313,196
3/11/2020,977,167
3/10/2020,1797,98
3/9/2020,1492,133
3/8/2020,1247,36
3/7/2020,778,49
3/6/2020,769,41
3/5/2020,587,27
3/4/2020,466,28
3/3/2020,347,17
3/2/2020,561,6
3/1/2020,240,8
2/29/2020,238,4
2/28/2020,250,5
2/27/2020,78,1
2/26/2020,93,5
2/25/2020,97,4
2/24/2020,53,0
2/23/2020,62,2
2/22/2020,14,0
2/21/2020,0,0
2/20/2020,0,0
2/19/2020,0,0
2/18/2020,0,0
2/17/2020,0,0
2/16/2020,0,0
2/15/2020,0,0
2/14/2020,0,0
2/13/2020,0,0
2/12/2020,0,0
2/11/2020,0,0
2/10/2020,0,0
2/9/2020,0,0
2/8/2020,0,0
2/7/2020,0,0
2/6/2020,0,0
2/5/2020,0,0
2/4/2020,0,0
2/3/2020,0,0
2/2/2020,0,0
2/1/2020,0,0
1/31/2020,3,0
1/30/2020,0,0
1/29/2020,0,0
1/28/2020,0,0
1/27/2020,0,0
1/26/2020,0,0
1/25/2020,0,0
1/24/2020,0,0
1/23/2020,0,0
1/22/2020,0,0
1/21/2020,0,0
1/20/2020,0,0
1/19/2020,0,0
1/18/2020,0,0
1/17/2020,0,0
1/16/2020,0,0
1/15/2020,0,0
1/14/2020,0,0
1/13/2020,0,0
1/12/2020,0,0
1/11/2020,0,0
1/10/2020,0,0
1/9/2020,0,0
1/8/2020,0,0
1/7/2020,0,0
1/6/2020,0,0
1/5/2020,0,0
1/4/2020,0,0
1/3/2020,0,0
1/2/2020,0,0
1/1/2020,0,0
