Date,Cases ,Death
5/12/2020,3877,210
5/11/2020,3923,268
5/10/2020,3896,346
5/9/2020,4649,626
5/8/2020,5514,539
5/7/2020,6211,649
5/6/2020,4406,693
5/5/2020,3985,288
5/4/2020,4339,315
5/3/2020,4806,621
5/2/2020,6201,739
5/1/2020,6032,674
4/30/2020,4076,795
4/29/2020,3996,909
4/28/2020,4309,338
4/27/2020,4463,420
4/26/2020,4913,843
4/25/2020,5386,1005
4/24/2020,4583,727
4/23/2020,4451,837
4/22/2020,4301,1172
4/21/2020,4676,559
4/20/2020,5850,498
4/19/2020,5525,1115
4/18/2020,5599,935
4/17/2020,4617,1029
4/16/2020,4603,842
4/15/2020,5252,1044
4/14/2020,4342,744
4/13/2020,5288,686
4/12/2020,8719,839
4/11/2020,5195,1152
4/10/2020,4344,1103
4/9/2020,5491,1034
4/8/2020,3634,1038
4/7/2020,3802,568
4/6/2020,5903,644
4/5/2020,3735,760
4/4/2020,4450,714
4/3/2020,4244,652
4/2/2020,4324,670
4/1/2020,3009,382
3/31/2020,2619,374
3/30/2020,2433,214
3/29/2020,2546,294
3/28/2020,2885,284
3/27/2020,2129,183
3/26/2020,1452,186
3/25/2020,1427,149
3/24/2020,967,74
3/23/2020,665,35
3/22/2020,1035,56
3/21/2020,706,36
3/20/2020,647,43
3/19/2020,680,34
3/18/2020,407,16
3/17/2020,152,22
3/16/2020,251,15
3/15/2020,433,18
3/14/2020,117,1
3/13/2020,134,2
3/12/2020,83,0
3/11/2020,52,4
3/10/2020,48,1
3/9/2020,67,0
3/8/2020,43,1
3/7/2020,48,1
3/6/2020,30,0
3/5/2020,34,0
3/4/2020,11,0
3/3/2020,4,0
3/2/2020,13,0
3/1/2020,5,0
2/29/2020,2,0
2/28/2020,3,0
2/27/2020,0,0
2/26/2020,0,0
2/25/2020,0,0
2/24/2020,4,0
2/23/2020,0,0
2/22/2020,0,0
2/21/2020,0,0
2/20/2020,0,0
2/19/2020,0,0
2/18/2020,0,0
2/17/2020,0,0
2/16/2020,0,0
2/15/2020,0,0
2/14/2020,0,0
2/13/2020,1,0
2/12/2020,0,0
2/11/2020,4,0
2/10/2020,0,0
2/9/2020,1,0
2/8/2020,0,0
2/7/2020,1,0
2/6/2020,0,0
2/5/2020,0,0
2/4/2020,0,0
2/3/2020,0,0
2/2/2020,0,0
2/1/2020,0,0
1/31/2020,2,0
1/30/2020,0,0
1/29/2020,0,0
1/28/2020,0,0
1/27/2020,0,0
1/26/2020,0,0
1/25/2020,0,0
1/24/2020,0,0
1/23/2020,0,0
1/22/2020,0,0
1/21/2020,0,0
1/20/2020,0,0
1/19/2020,0,0
1/18/2020,0,0
1/17/2020,0,0
1/16/2020,0,0
1/15/2020,0,0
1/14/2020,0,0
1/13/2020,0,0
1/12/2020,0,0
1/11/2020,0,0
1/10/2020,0,0
1/9/2020,0,0
1/8/2020,0,0
1/7/2020,0,0
1/6/2020,0,0
1/5/2020,0,0
1/4/2020,0,0
1/3/2020,0,0
1/2/2020,0,0
1/1/2020,0,0
